epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.431,1.81825,2.89638,1.2614,0.72423,0.27392,0.26615,0.15429,1.84546,3.89532,1.38195,0.00332958,0.00332958,0.00332958
2,313.671,1.66763,1.81924,1.16762,0.36908,0.3045,0.28797,0.15775,1.96467,6.15137,1.39938,0.00662993,0.00662993,0.00662993
3,438.831,1.67547,1.6899,1.16866,0.58253,0.35269,0.36271,0.20227,1.80972,4.32845,1.31888,0.00989728,0.00989728,0.00989728
4,558.533,1.6615,1.59498,1.17282,0.61993,0.36767,0.38708,0.22277,1.82984,3.2007,1.32477,0.0098515,0.0098515,0.0098515
5,678.961,1.60132,1.41911,1.14405,0.5981,0.40256,0.41328,0.23469,1.79385,3.32242,1.34828,0.009802,0.009802,0.009802
6,795.949,1.54433,1.31169,1.1208,0.64467,0.44802,0.45633,0.2658,1.69131,3.45467,1.27922,0.0097525,0.0097525,0.0097525
7,916.205,1.52314,1.25025,1.10755,0.60696,0.44985,0.4637,0.27064,1.65167,3.24067,1.25216,0.009703,0.009703,0.009703
8,1034.34,1.47616,1.20875,1.09483,0.601,0.47208,0.47637,0.28265,1.66289,3.10691,1.27151,0.0096535,0.0096535,0.0096535
9,1155.05,1.46957,1.17477,1.09192,0.7025,0.46492,0.50335,0.29936,1.62665,3.04379,1.21573,0.009604,0.009604,0.009604
10,1277.18,1.45768,1.13818,1.07955,0.641,0.50134,0.51741,0.31432,1.64381,3.63589,1.23192,0.0095545,0.0095545,0.0095545
11,1399.51,1.42603,1.10754,1.06952,0.70989,0.48652,0.53193,0.32243,1.56835,3.19429,1.1955,0.009505,0.009505,0.009505
12,1522.37,1.41042,1.08482,1.0627,0.68891,0.50384,0.53726,0.32877,1.59573,3.2853,1.22982,0.0094555,0.0094555,0.0094555
13,1652.16,1.39966,1.0588,1.05531,0.66808,0.53097,0.55427,0.33611,1.56678,3.09691,1.1791,0.009406,0.009406,0.009406
14,1780.11,1.38575,1.03809,1.05177,0.68611,0.51524,0.55526,0.33839,1.57862,3.03586,1.20412,0.0093565,0.0093565,0.0093565
15,1903.7,1.37786,1.02994,1.04919,0.66206,0.5385,0.55975,0.34554,1.54516,4.00813,1.18506,0.009307,0.009307,0.009307
16,2031.44,1.37131,1.02954,1.04762,0.682,0.55319,0.57245,0.35498,1.52709,2.92832,1.17255,0.0092575,0.0092575,0.0092575
17,2152.98,1.34912,0.99872,1.03748,0.70222,0.54835,0.57433,0.35701,1.5096,3.25306,1.14363,0.009208,0.009208,0.009208
18,2279.04,1.34815,0.99457,1.03595,0.69674,0.53881,0.57563,0.3543,1.53755,2.84232,1.15997,0.0091585,0.0091585,0.0091585
19,2399.48,1.33676,0.97635,1.02922,0.69649,0.56401,0.59426,0.36505,1.52101,3.42115,1.15457,0.009109,0.009109,0.009109
20,2517.48,1.32663,0.97786,1.03193,0.7106,0.56103,0.59516,0.3701,1.50407,3.70265,1.13795,0.0090595,0.0090595,0.0090595
21,2633.17,1.32622,0.95746,1.02205,0.69809,0.57375,0.59636,0.36963,1.49263,3.12935,1.13232,0.00901,0.00901,0.00901
22,2752.18,1.32008,0.95416,1.01839,0.69921,0.57441,0.60383,0.37974,1.48484,3.02257,1.12732,0.0089605,0.0089605,0.0089605
23,2875.79,1.31086,0.95129,1.022,0.69611,0.58044,0.59746,0.37836,1.4605,3.63331,1.13121,0.008911,0.008911,0.008911
24,2994.97,1.29852,0.92195,1.01184,0.72944,0.57072,0.60907,0.38232,1.47102,3.5384,1.13442,0.0088615,0.0088615,0.0088615
25,3114.18,1.30342,0.92968,1.01069,0.69199,0.58982,0.61019,0.3864,1.49761,3.34487,1.12605,0.008812,0.008812,0.008812
26,3238.21,1.30264,0.93303,1.01214,0.70622,0.58771,0.61652,0.39012,1.46924,3.55231,1.11924,0.0087625,0.0087625,0.0087625
27,3359.49,1.29591,0.92108,1.00793,0.72748,0.59638,0.62222,0.39868,1.44532,3.45075,1.11038,0.008713,0.008713,0.008713
28,3483.05,1.28209,0.90144,1.00191,0.71115,0.59852,0.62444,0.39762,1.45688,3.42493,1.11879,0.0086635,0.0086635,0.0086635
29,3607.86,1.27728,0.90311,1.00214,0.72264,0.60208,0.62776,0.39727,1.44952,3.47824,1.1212,0.008614,0.008614,0.008614
30,3729.58,1.28071,0.90157,1.00569,0.73839,0.60071,0.63443,0.40156,1.46006,3.60325,1.12082,0.0085645,0.0085645,0.0085645
31,3853.02,1.26544,0.89038,0.99924,0.72198,0.59894,0.62873,0.40375,1.42468,3.82449,1.10044,0.008515,0.008515,0.008515
32,3975.37,1.26687,0.88242,0.99487,0.74296,0.5948,0.63197,0.40623,1.44747,3.30549,1.11266,0.0084655,0.0084655,0.0084655
33,4094.07,1.25695,0.876,0.99499,0.74391,0.60498,0.6394,0.40767,1.43089,3.5549,1.0987,0.008416,0.008416,0.008416
34,4212.74,1.24892,0.8679,0.99475,0.73083,0.60033,0.64088,0.41259,1.43638,3.76631,1.11104,0.0083665,0.0083665,0.0083665
35,4330.85,1.25824,0.87255,0.9946,0.7248,0.617,0.6492,0.41655,1.43223,3.78992,1.1065,0.008317,0.008317,0.008317
36,4454.45,1.25304,0.8666,0.99127,0.73342,0.62049,0.64864,0.41721,1.42921,3.50512,1.10224,0.0082675,0.0082675,0.0082675
37,4574.65,1.25116,0.86553,0.99249,0.72979,0.62014,0.64405,0.41601,1.4243,3.8201,1.1039,0.008218,0.008218,0.008218
38,4691.76,1.24603,0.85992,0.98968,0.74016,0.62323,0.65105,0.42009,1.42723,3.66559,1.10641,0.0081685,0.0081685,0.0081685
39,4814.08,1.24756,0.86449,0.99044,0.7459,0.62071,0.65157,0.41974,1.41256,3.63922,1.09739,0.008119,0.008119,0.008119
40,4936.65,1.24215,0.85666,0.98725,0.73257,0.62136,0.65032,0.41875,1.42322,3.49623,1.10091,0.0080695,0.0080695,0.0080695
41,5060.92,1.23618,0.84867,0.98488,0.73528,0.62395,0.64884,0.41783,1.41129,3.43033,1.10156,0.00802,0.00802,0.00802
42,5189.45,1.24383,0.85663,0.98882,0.73094,0.6267,0.65273,0.42203,1.40537,3.71427,1.09059,0.0079705,0.0079705,0.0079705
43,5309.32,1.2364,0.84892,0.98523,0.74569,0.62355,0.65597,0.42538,1.41068,3.61776,1.09226,0.007921,0.007921,0.007921
44,5431.26,1.22852,0.84373,0.98684,0.74361,0.61923,0.65563,0.42472,1.4086,3.68503,1.09782,0.0078715,0.0078715,0.0078715
45,5555.38,1.22311,0.83697,0.98316,0.74375,0.61842,0.65593,0.42796,1.40512,3.74406,1.09576,0.007822,0.007822,0.007822
46,5679.52,1.22288,0.83324,0.98212,0.74391,0.61992,0.65644,0.42546,1.40524,3.57212,1.09004,0.0077725,0.0077725,0.0077725
47,5802.29,1.22271,0.83855,0.98165,0.74442,0.62373,0.65957,0.42945,1.40443,3.59036,1.08988,0.007723,0.007723,0.007723
48,5923.22,1.2194,0.82946,0.97766,0.74925,0.62479,0.6611,0.43102,1.39976,3.60973,1.08804,0.0076735,0.0076735,0.0076735
49,6042.72,1.21317,0.82106,0.9775,0.74089,0.63584,0.6639,0.43489,1.40047,3.80494,1.0872,0.007624,0.007624,0.007624
50,6164.24,1.20173,0.81718,0.97252,0.75239,0.63179,0.66728,0.43761,1.3998,3.74894,1.08606,0.0075745,0.0075745,0.0075745
51,6280.14,1.2066,0.81589,0.97559,0.75751,0.62886,0.66714,0.43632,1.40058,3.7943,1.08824,0.007525,0.007525,0.007525
52,6393.86,1.20438,0.82295,0.97744,0.7648,0.62908,0.66771,0.43686,1.39583,3.68504,1.08837,0.0074755,0.0074755,0.0074755
53,6509.02,1.21105,0.82371,0.98143,0.7606,0.62359,0.6664,0.43498,1.39673,3.66298,1.08864,0.007426,0.007426,0.007426
54,6624.23,1.20631,0.81742,0.97616,0.74475,0.63264,0.66302,0.43374,1.3889,3.69583,1.08292,0.0073765,0.0073765,0.0073765
55,6740.11,1.19162,0.80646,0.97205,0.74223,0.63674,0.66468,0.43518,1.38449,3.73555,1.07975,0.007327,0.007327,0.007327
56,6858.17,1.20432,0.81362,0.97315,0.74547,0.64059,0.66613,0.43699,1.38384,3.78248,1.0805,0.0072775,0.0072775,0.0072775
57,6973.74,1.19801,0.80208,0.97046,0.75533,0.63228,0.66523,0.43635,1.38297,3.80482,1.08165,0.007228,0.007228,0.007228
58,7088.21,1.19505,0.79975,0.96914,0.75426,0.63465,0.66646,0.43786,1.38478,3.89197,1.08274,0.0071785,0.0071785,0.0071785
59,7203.39,1.19291,0.80105,0.96982,0.74131,0.64053,0.66722,0.43933,1.3854,3.95747,1.08296,0.007129,0.007129,0.007129
60,7320.81,1.19573,0.80031,0.9722,0.75345,0.63754,0.66813,0.43898,1.38443,3.94173,1.08225,0.0070795,0.0070795,0.0070795
61,7436.48,1.1844,0.79494,0.96653,0.75115,0.63993,0.66761,0.43929,1.38316,3.92916,1.08125,0.00703,0.00703,0.00703
62,7553.75,1.18801,0.79628,0.96883,0.75137,0.63864,0.66839,0.44042,1.38571,3.91938,1.08317,0.0069805,0.0069805,0.0069805
63,7670.9,1.1854,0.79224,0.96972,0.75143,0.63756,0.66772,0.43986,1.38685,3.90606,1.08306,0.006931,0.006931,0.006931
64,7788.71,1.1848,0.79144,0.96705,0.74595,0.63972,0.66647,0.43919,1.38748,3.89467,1.08372,0.0068815,0.0068815,0.0068815
65,7903.32,1.18739,0.79528,0.96783,0.74463,0.64018,0.66641,0.43911,1.38542,3.89917,1.08292,0.006832,0.006832,0.006832
66,8020.2,1.17479,0.78297,0.96386,0.74494,0.64143,0.66726,0.43971,1.38194,3.9069,1.08164,0.0067825,0.0067825,0.0067825
67,8136.69,1.17474,0.78011,0.96501,0.74943,0.63723,0.66667,0.43964,1.38197,3.89615,1.08133,0.006733,0.006733,0.006733
68,8255.93,1.17676,0.7764,0.96384,0.74462,0.63993,0.66669,0.43999,1.38082,3.90683,1.08024,0.0066835,0.0066835,0.0066835
69,8375.18,1.1732,0.77743,0.96262,0.74349,0.64309,0.66665,0.44006,1.38017,3.93281,1.07892,0.006634,0.006634,0.006634
70,8491.7,1.16981,0.77629,0.96258,0.74256,0.64385,0.66685,0.44021,1.38021,3.94457,1.07883,0.0065845,0.0065845,0.0065845
71,8607.93,1.17647,0.77045,0.96144,0.74955,0.63772,0.66744,0.44039,1.37813,3.93309,1.07763,0.006535,0.006535,0.006535
72,8724.25,1.16667,0.7697,0.9622,0.74743,0.63967,0.66722,0.44073,1.37688,3.92217,1.07675,0.0064855,0.0064855,0.0064855
73,8844,1.16922,0.77631,0.96026,0.74802,0.63969,0.66799,0.44187,1.37601,3.91474,1.07668,0.006436,0.006436,0.006436
74,8961.61,1.15712,0.76761,0.95821,0.74947,0.63836,0.66855,0.44173,1.37596,3.90664,1.07652,0.0063865,0.0063865,0.0063865
75,9078.55,1.16356,0.76724,0.95959,0.74956,0.63766,0.66859,0.44222,1.37619,3.88561,1.07662,0.006337,0.006337,0.006337
76,9195.74,1.16271,0.76659,0.96188,0.74975,0.63752,0.66888,0.44225,1.3754,3.88762,1.07626,0.0062875,0.0062875,0.0062875
77,9311.63,1.15511,0.75895,0.95768,0.74976,0.63907,0.66904,0.4421,1.37501,3.88458,1.07622,0.006238,0.006238,0.006238
78,9431.76,1.15477,0.75431,0.95479,0.75126,0.63857,0.6696,0.44235,1.37541,3.88953,1.07585,0.0061885,0.0061885,0.0061885
79,9548.1,1.15805,0.76048,0.95954,0.74866,0.6401,0.66965,0.44262,1.37513,3.88988,1.07558,0.006139,0.006139,0.006139
80,9665.37,1.1523,0.75679,0.95671,0.74935,0.64109,0.67064,0.44319,1.37574,3.89164,1.07556,0.0060895,0.0060895,0.0060895
81,9783.51,1.15596,0.75575,0.95547,0.74855,0.6404,0.67091,0.44351,1.37561,3.89826,1.07537,0.00604,0.00604,0.00604
82,9899.49,1.15508,0.75661,0.95625,0.75185,0.63973,0.67138,0.44356,1.37542,3.90925,1.07491,0.0059905,0.0059905,0.0059905
83,10017.3,1.14573,0.74583,0.95373,0.74745,0.64345,0.67189,0.44402,1.37525,3.91131,1.0751,0.005941,0.005941,0.005941
84,10133.1,1.1465,0.74782,0.95416,0.74858,0.64372,0.67229,0.44435,1.37562,3.90797,1.07571,0.0058915,0.0058915,0.0058915
85,10250.4,1.14291,0.74407,0.95355,0.75116,0.64203,0.6729,0.44438,1.37642,3.90584,1.07568,0.005842,0.005842,0.005842
86,10367.7,1.14489,0.74899,0.95525,0.7514,0.64239,0.67318,0.44475,1.37649,3.89804,1.07594,0.0057925,0.0057925,0.0057925
87,10485.2,1.14598,0.74627,0.95301,0.75415,0.64222,0.6731,0.44467,1.37665,3.89599,1.07603,0.005743,0.005743,0.005743
88,10602.1,1.14406,0.74375,0.9526,0.75107,0.64481,0.67376,0.44498,1.37647,3.888,1.07572,0.0056935,0.0056935,0.0056935
